"","RI"
"Purity",0.974000007717589
"Fmeasure",0.976219325456186
"RI",1
"ball_hall",0.242473859820551
"banfeld_raftery",NA
"c_index",-0.224823183427511
"calinski_harabasz",0.390076224556232
"davies_bouldin",0.0468116746947637
"det_ratio",-0.116263901572793
"dunn",-0.0111919278195625
"gamma",NA
"g_plus",0.133622640276539
"gdi11",-0.0111919278195625
"gdi12",-0.110703705534747
"gdi13",-0.108459193961573
"gdi21",0.185669270294124
"gdi22",-0.0971318269312143
"gdi23",-0.0874094376175101
"gdi31",0.328075856517251
"gdi32",-0.0762701140298286
"gdi33",-0.059202234648134
"gdi41",0.246315974813536
"gdi42",-0.0801779617565835
"gdi43",-0.0649005525857483
"gdi51",0.37056348139609
"gdi52",0.35889431009604
"gdi53",0.438197655079769
"ksq_detw",0.0365323724799917
"log_det_ratio",NA
"log_ss_ratio",0.167717822992966
"mcclain_rao",-0.0857336154844578
"pbm",0.472029201422462
"point_biserial",-0.360503261489154
"ray_turi",-0.00962044558239257
"ratkowsky_lance",0.421056754540935
"scott_symons",NA
"sd_scat",-0.190094963499767
"sd_dis",-0.176386477111518
"s_dbw",-0.382716577356206
"silhouette",NA
"tau",-0.0319883919543124
"trace_w",0.216972963959144
"trace_wib",-0.116263901572793
"wemmert_gancarski",0.0837998783537812
"xie_beni",-0.197424323171573
"infomax",0.396837097634538
